kvk,naam,boekjaar,accountant
50496115,IIF Dutch TopCo B.V.,2024,KPMG
33178198,IKEA Nederland B.V.,2024,KPMG
11064627,Imperial Mobility Finance B.V.,2024,KPMG
51904853,Indorama Netherlands B.V.,2024,KPMG
58697802,Indorama Ventures Europe B.V.,2024,KPMG
69798567,Infinitas Learning International B.V.,2024,KPMG
33173748,Ingka Holding B.V.,2024,KPMG
90210352,INNIO Jenbacher International B.V.,2024,KPMG
08154117,Insight Enterprises Holdings B.V.,2024,KPMG
27163852,Inter IKEA Holding B.V.,2024,KPMG
17052481,Interfood B.V.,2024,KPMG
17079506,Interfood Global B.V.,2024,KPMG
74152513,Intertoys B.V.,2024,KPMG
34128125,InterXion HeadQuarters B.V.,2024,KPMG
62993577,IQIP Holding B.V.,2024,KPMG
34383788,Japan Drilling (Netherlands) B.V.,2024,KPMG
34285243,JBS Leather International B.V.,2024,KPMG
33045753,JCDecaux Nederland B.V.,2024,Mazars; KPMG
62303597,Jeugd ggz,2024,KPMG
20094107,Jiffy B.V.,2024,KPMG
34288231,Jones Lang LaSalle B.V.,2024,KPMG
34137363,Jones Lang LaSalle Global Holdings B.V.,2024,KPMG
24114554,Jones Lang LaSalle Holding B.V.,2024,KPMG
73864668,Joulz Bidco B.V.,2024,KPMG
73863025,Joulz Holdco B.V.,2024,KPMG
41244488,JP van den Bent,2024,KPMG
17033706,JT Sports Holding B.V.,2024,KPMG
52597318,JX Nippon Finance Netherlands B.V.,2024,KPMG
34269601,Kapnar Holdings B.V.,2024,KPMG
14034376,Karlou B.V.,2024,KPMG
55302394,Karo Healthcare,2024,KPMG
34369187,Karpower International B.V.,2024,KPMG
54053765,Kekkilä-BVB Netherlands B.V.,2024,KPMG
32073705,Ketjen Netherlands B.V.,2024,KPMG
64748111,KFC South Africa Holdings B.V.,2024,KPMG
34072948,Kintetsu World Express (Benelux) B.V.,2024,KPMG
08201818,Klimop,2024,KPMG
30100799,Knab,2024,KPMG
74756125,Knjaz Milos Holdings B.V.,2024,KPMG
33173827,Knoll Europe B.V.,2024,KPMG
30074358,Konica Minolta Business Solutions Nederland B.V.,2024,KPMG
41084084,Koning Willem I College,2024,KPMG
35000363,Koninklijke Ahold Delhaize N.V.,2024,KPMG
27377634,Koninklijke Bibliotheek,2024,KPMG
23008599,Koninklijke Boskalis B.V.,2024,KPMG
06023267,Koninklijke Grolsch N.V.,2024,KPMG
01081428,Koninklijke Lankhorst-Euronete group B.V.,2024,KPMG
33014286,Koninklijke Luchtvaart Maatschappij N.V.,2024,KPMG ; PwC
33014286,Koninklijke Luchtvaart Maatschappij N.V.,2024,KPMG
29001292,Koninklijke Otolift Trapliften,2024,KPMG
01049274,Koninklijke Smilde B.V.,2024,KPMG
02321425,Koninklijke Wagenborg,2024,KPMG
10026153,Koninklijke Wijnhoff & Van Gulpen & Larsen B.V.,2024,KPMG
34299892,Koppers International B.V.,2024,KPMG
92918182,Koppert Group B.V.,2024,KPMG
58352775,KRO-NCRV,2024,KPMG
34352309,Krosakiharima Europe B.V.,2024,KPMG
24380686,Kuehne + Nagel Investments B.V.,2024,KPMG
16024021,Kuehne + Nagel Logistics B.V.,2024,KPMG
24116891,Kuehne + Nagel N.V.,2024,KPMG
01139757,Kwadrant Ondersteuning thuis,2024,KPMG
75253283,L - founders of loyalty Coöperatie U.A.,2024,KPMG
22026293,Lamb Weston B.V.,2024,KPMG
66794315,Lamb Weston International B.V.,2024,KPMG
66782414,Lamb Weston Netherlands B.V.,2024,KPMG
20024605,Laurentius,2024,KPMG
61249572,Leagold LatAm Holdings B.V.,2024,KPMG
52577139,Leagold RDM Holdings B.V.,2024,KPMG
27366422,Leids Universitair Medisch Centrum (LUMC),2024,KPMG
17001515,Lekkerland Beheer N.V.,2024,KPMG
28071688,Libertatis Ergo Holding B.V.,2024,KPMG
70113416,LIBRA MV31 B.V.,2024,KPMG
70128464,Lieven de Stad B.V.,2024,KPMG
70148821,Lifetri Groep B.V.,2024,KPMG
69933332,Lifetri Uitvaartverzekeringen N.V.,2024,KPMG
27117921,Lifetri Verzekeringen N.V.,2024,KPMG
34138847,Lion River I B.V.,2024,KPMG
60668695,Liveholding B.V.,2024,KPMG
71533834,Livent Foreign HoldCo B.V.,2024,KPMG
24236591,LKAB Minerals B.V.,2024,KPMG
20128316,Locka Holding B.V.,2024,KPMG
34086114,Loraine Beheer B.V.,2024,KPMG
34354501,Losur B.V.,2024,KPMG
83355235,Lotus Cars Europe B.V.,2024,KPMG
